season_year,season_label,vessel_id,trip_id,dep_ts,arr_ts,arr_date,landed_kg,n_records,fishing_h,distance_km
2024,2024-2025,matsumae08,matsumae08_T28,2024-11-02 03:09:40,2024-11-02 08:36:39,2024-11-02,46.5,1,3.1166666666666667,30.49974221572214
2024,2024-2025,matsumae09,matsumae09_T6,2024-07-12 01:14:44,2024-07-12 11:29:44,2024-07-12,1278.8,26,6.416666666666667,65.781221123242
2024,2024-2025,matsumae09,matsumae09_T24,2024-10-26 03:03:44,2024-10-26 09:06:44,2024-10-26,55.8,2,3.5497222222222224,40.68214083374573
2024,2024-2025,matsumae09,matsumae09_T26,2024-10-26 10:47:45,2024-10-26 14:57:45,2024-10-26,55.8,2,0.016666666666666666,44.67018087556397
2024,2024-2025,matsumae09,matsumae09_T36,2024-11-10 03:18:45,2024-11-10 08:50:44,2024-11-10,92.3,3,3.4319444444444445,33.81318083705915
2024,2024-2025,matsumae11,matsumae11_T1,2024-07-10 00:48:59,2024-07-10 08:17:59,2024-07-10,614.0,15,6.416666666666667,21.722361481578123
2024,2024-2025,matsumae11,matsumae11_T9,2024-07-11 00:50:59,2024-07-11 09:40:00,2024-07-11,700.4,15,6.700277777777778,43.89678903159402
2024,2024-2025,matsumae11,matsumae11_T14,2024-07-16 00:39:00,2024-07-16 09:33:59,2024-07-16,789.9,15,2.450277777777778,46.638131827222466
2024,2024-2025,matsumae12,matsumae12_T13,2024-07-10 01:06:49,2024-07-10 10:03:49,2024-07-10,461.0,11,6.749722222222222,34.81152197686588
2024,2024-2025,matsumae12,matsumae12_T19,2024-07-11 01:00:49,2024-07-11 09:17:50,2024-07-11,379.2,8,6.583055555555556,32.0000004905303
2024,2024-2025,matsumae12,matsumae12_T20,2024-07-16 00:50:50,2024-07-16 07:52:50,2024-07-16,312.0,6,5.184444444444445,33.11147275948642
2024,2024-2025,matsumae12,matsumae12_T21,2024-07-17 00:58:50,2024-07-17 06:26:50,2024-07-17,266.9,5,3.35,22.45760150510182
2024,2024-2025,matsumae12,matsumae12_T22,2024-08-01 01:19:49,2024-08-01 07:32:49,2024-08-01,192.9,4,4.349722222222223,27.300379740675154
2024,2024-2025,matsumae12,matsumae12_T23,2024-08-03 01:19:49,2024-08-03 07:03:50,2024-08-03,148.3,3,3.7155555555555555,31.17026852551647
2024,2024-2025,matsumae12,matsumae12_T29,2024-08-20 00:53:50,2024-08-20 07:20:49,2024-08-20,207.0,2,3.716111111111111,46.58752481203105
2024,2024-2025,matsumae13,matsumae13_T6,2024-08-06 01:34:44,2024-08-06 08:56:44,2024-08-06,409.3,7,4.767222222222222,42.8584619330513
2024,2024-2025,matsumae13,matsumae13_T10,2024-08-07 01:43:44,2024-08-07 12:07:44,2024-08-07,1080.9,22,7.633888888888889,49.464901305266196
2024,2024-2025,matsumae14,matsumae14_T8,2024-08-03 01:43:19,2024-08-03 08:38:19,2024-08-03,134.4,2,3.6172222222222223,43.18781986431704
2024,2024-2025,matsumae14,matsumae14_T10,2024-08-06 01:33:19,2024-08-06 10:42:19,2024-08-06,418.0,6,6.333055555555556,43.10176876746837
2024,2024-2025,matsumae14,matsumae14_T15,2024-08-07 01:44:19,2024-08-07 11:35:20,2024-08-07,354.7,8,6.665555555555556,47.176515621326544
2024,2024-2025,matsumae15,matsumae15_T22,2024-07-11 01:12:05,2024-07-11 10:49:05,2024-07-11,435.1,8,7.216388888888889,38.2573884737386
2024,2024-2025,matsumae15,matsumae15_T23,2024-07-12 01:01:04,2024-07-12 11:54:04,2024-07-12,1017.3000000000001,20,8.400277777777777,38.62225010673992
2024,2024-2025,matsumae15,matsumae15_T24,2024-07-16 01:04:04,2024-07-16 09:22:04,2024-07-16,565.1,9,5.7,42.846775877302626
2024,2024-2025,matsumae15,matsumae15_T28,2024-07-17 01:14:04,2024-07-17 11:29:04,2024-07-17,748.3,12,6.216111111111111,66.26986736580314
2024,2024-2025,matsumae15,matsumae15_T32,2024-08-01 01:24:04,2024-08-01 07:52:05,2024-08-01,106.69999999999999,2,4.516944444444444,36.0667580363605
2024,2024-2025,matsumae15,matsumae15_T33,2024-08-03 01:47:04,2024-08-03 08:12:04,2024-08-03,117.5,2,2.4,43.09784465073222
2024,2024-2025,matsumae15,matsumae15_T36,2024-08-07 01:50:05,2024-08-07 13:36:05,2024-08-07,1550.3,32,8.8,55.36185658454949
