line_number_1based,vessel_id,ts,prev_ts,lat,long,lat_dd,long_dd
418,matsumae02,2023-07-08 01:08:19,,4131.752,13955.352,41.5292,139.922533
420,matsumae06,2023-07-08 01:08:25,,4129.328,13955.478,41.4888,139.924633
422,matsumae01,2023-07-08 01:08:40,,4130.608,13955.659,41.510133,139.92765
424,matsumae04,2023-07-08 01:08:49,,4130.338,13956.176,41.505633,139.936267
426,matsumae02,2023-07-08 01:09:19,,4131.818,13955.302,41.5303,139.9217
428,matsumae06,2023-07-08 01:09:25,,4129.479,13955.508,41.491317,139.925133
430,matsumae01,2023-07-08 01:09:40,,4130.735,13955.618,41.51225,139.926967
432,matsumae04,2023-07-08 01:09:48,,4130.317,13956.177,41.505283,139.936283
434,matsumae02,2023-07-08 01:10:20,,4131.85,13955.359,41.530833,139.92265
436,matsumae06,2023-07-08 01:10:25,,4129.632,13955.502,41.493867,139.925033
438,matsumae01,2023-07-08 01:10:39,,4130.863,13955.569,41.514383,139.92615
440,matsumae04,2023-07-08 01:10:49,,4130.296,13956.176,41.504933,139.936267
442,matsumae02,2023-07-08 01:11:20,,4131.872,13955.472,41.5312,139.924533
444,matsumae06,2023-07-08 01:11:25,,4129.724,13955.53,41.4954,139.9255
446,matsumae01,2023-07-08 01:11:39,,4130.991,13955.521,41.516517,139.92535
448,matsumae04,2023-07-08 01:11:49,,4130.274,13956.175,41.504567,139.93625
450,matsumae02,2023-07-08 01:12:19,,4131.896,13955.584,41.5316,139.9264
452,matsumae06,2023-07-08 01:12:24,,4129.728,13955.558,41.495467,139.925967
454,matsumae01,2023-07-08 01:12:39,,4131.12,13955.479,41.518667,139.92465
456,matsumae04,2023-07-08 01:12:49,,4130.254,13956.175,41.504233,139.93625
458,matsumae02,2023-07-08 01:13:19,,4131.909,13955.697,41.531817,139.928283
460,matsumae06,2023-07-08 01:13:25,,4129.716,13955.567,41.495267,139.926117
462,matsumae01,2023-07-08 01:13:39,,4131.248,13955.5,41.5208,139.925
464,matsumae04,2023-07-08 01:13:49,,4130.236,13956.177,41.503933,139.936283
466,matsumae02,2023-07-08 01:14:19,,4131.913,13955.716,41.531883,139.9286
468,matsumae06,2023-07-08 01:14:24,,4129.704,13955.574,41.495067,139.926233
